"name","bpm","genre","start time","end time","playtime","deck"
"24K Magic (Intro Clean)","107","Pop","7:15:24 PM CDT","7:18:10 PM CDT","00:02:46","2"
"Tell Me When To Go (Intro Clean)","107","Hip Hop","7:17:17 PM CDT","7:26:30 PM CDT","00:09:13","1"
"Country Girl (Shake It For Me) (Intro Clean)","106","Country","7:18:10 PM CDT","7:31:32 PM CDT","00:13:22","2"
"Sunflower (Cesar Castilla Blend) (Clean Extended)","105","Afrobeat","7:26:30 PM CDT","7:33:11 PM CDT","00:06:41","1"
"Show Me What You Got (Intro Clean)","106","Hip Hop","7:31:32 PM CDT","7:38:52 PM CDT","00:07:20","2"
"One, Two Step (feat. Missy Elliott)","113","R&B/Soul","7:38:11 PM CDT","7:46:39 PM CDT","00:08:28","1"
"Take On Me (Intro Clean)","84","Pop","7:46:39 PM CDT","7:56:03 PM CDT","00:09:24","1"
"Everybody Wants To Rule The World (Intro Clean)","112","Pop","7:48:39 PM CDT","7:57:33 PM CDT","00:08:54","2"
"Blurred Lines (Intro Dirty)","120","Pop","7:56:03 PM CDT","8:02:09 PM CDT","00:06:06","1"
"Big Poppa (Father and Son Edit) (Clean Extended)","122","Tech House","7:57:33 PM CDT","8:12:07 PM CDT","00:14:34","2"
"No Broke Boys (DJ OD Disco Edit) Clean","124","Nu Disco","8:02:09 PM CDT","8:28:33 PM CDT","00:26:24","1"
"Right Round (Intro Dirty)","125","Pop","8:12:07 PM CDT","8:14:24 PM CDT","00:02:17","2"
"Like A G6 (Intro Clean)","125","Pop","8:14:24 PM CDT","8:29:35 PM CDT","00:15:11","2"
"Low (Intro Dirty)","128","Hip Hop","8:28:34 PM CDT","8:37:57 PM CDT","00:09:23","1"
"That's What I Like (Intro Dirty)","134","Pop","8:29:35 PM CDT","8:32:42 PM CDT","00:03:07","2"
"Save A Horse (Ride A Cowboy) (Intro Clean)","102","Country","8:32:42 PM CDT","4:06:59 PM CDT","91:34:17","2"
"Tom's Diner (7"" A)","99","Rock","4:06:59 PM CDT","4:07:10 PM CDT","00:00:11","offline"
"Tom's Diner (7"" A)","99","Rock","4:07:14 PM CDT","4:13:57 PM CDT","00:06:43","2"
"Sweet Home Alabama","98","Rock","4:08:20 PM CDT","4:10:41 PM CDT","00:02:21","1"
"This Love","95","Rock","4:11:21 PM CDT","4:16:18 PM CDT","00:04:57","1"
"Tequila (Clean)","91","Rock","4:13:57 PM CDT","4:17:58 PM CDT","00:04:01","2"
"Beautiful (Intro Clean)","101","Hip Hop","4:16:18 PM CDT","4:21:14 PM CDT","00:04:56","1"
"Doo Wop (That Thing)","100","R&B/Soul","4:17:58 PM CDT","4:23:40 PM CDT","00:05:42","2"
"Sensational (Intro Clean)","100","R&B","4:22:36 PM CDT","4:27:07 PM CDT","00:04:31","1"
"Run It (Remix) (Intro Outro) (Clean)","101","R&B","4:25:45 PM CDT","4:28:25 PM CDT","00:02:40","2"
"Everybody (Backstreet's Back) (Radio Edit)","108","","4:27:07 PM CDT","4:30:07 PM CDT","00:03:00","1"
"24K Magic (Intro Clean)","107","Pop","4:29:04 PM CDT","4:31:39 PM CDT","00:02:35","2"
"Tell Me When To Go (Intro Clean)","107","Hip Hop","4:30:07 PM CDT","4:33:02 PM CDT","00:02:55","1"
"About Damn Time (Intro Clean)","109","Pop","4:31:39 PM CDT","4:36:13 PM CDT","00:04:34","2"
"Hollaback Girl (Intro Clean)","110","Pop","4:33:20 PM CDT","4:37:37 PM CDT","00:04:17","1"
"Motownphilly (Intro Clean)","114","R&B","4:36:13 PM CDT","4:39:00 PM CDT","00:02:47","2"
"Dangerous (Intro Clean)","117","Top 40","4:37:37 PM CDT","4:41:00 PM CDT","00:03:23","1"
"Country Girl (Shake It For Me) (Intro Clean)","106","Country","4:39:00 PM CDT","4:43:41 PM CDT","00:04:41","2"
"Pass That Dutch (Intro Clean)","111","Hip Hop","4:42:12 PM CDT","4:46:01 PM CDT","00:03:49","1"
"Ghostbusters (Intro Clean)","116","Pop","4:43:41 PM CDT","4:49:25 PM CDT","00:05:44","2"
"American Boy (Intro Clean)","118","Top 40","4:46:01 PM CDT","4:51:59 PM CDT","00:05:58","1"
"Criminals (ellis Remix) (XMiX Xpress Edit)","118","Top 40","4:50:07 PM CDT","4:54:43 PM CDT","00:04:36","2"
"Thriller (Intro Clean)","118","Pop","4:53:03 PM CDT","4:58:15 PM CDT","00:05:12","1"
"The Monster (Intro Dirty)","110","Pop","4:55:07 PM CDT","5:01:16 PM CDT","00:06:09","2"
"DJ Got Us Fallin In Love (BPM Supreme Slam Edit) (Clean Extended)","120","Pop","4:58:15 PM CDT","5:03:36 PM CDT","00:05:21","1"
"Taste (Cosmic Dawn Extended Remix)","121","Dance","5:02:29 PM CDT","5:06:05 PM CDT","00:03:36","2"
"Poison (Sergio Villanueva Remix) (Dirty Extended)","122","House","5:03:36 PM CDT","5:10:43 PM CDT","00:07:07","1"
"São Paulo (Intro Dirty)","128","R&B","5:06:05 PM CDT","5:07:57 PM CDT","00:01:52","2"
"S&M (Remix) (DJ Nasa Remix) (Clean Extended)","128","Pop","5:08:09 PM CDT","5:12:31 PM CDT","00:04:22","2"
"Groove Is In The Heart (Ellaime Edit)","127","Dance","5:10:46 PM CDT","5:14:37 PM CDT","00:03:51","1"
"Jamming (Fisher Remix) (JD Live Club Edit) Clean","126","House","5:13:24 PM CDT","5:17:07 PM CDT","00:03:43","2"
"Hot In Here (Steff da Campo Remix)","126","Tech House","5:14:37 PM CDT","5:18:04 PM CDT","00:03:27","1"
"Down (DJ Nasa PoolSide Edit) (Clean Extended)","126","Pop","5:17:07 PM CDT","5:20:01 PM CDT","00:02:54","2"
"The Way You Move (Party Essentials Remix) clean","126","R&B","5:18:04 PM CDT","5:24:28 PM CDT","00:06:24","1"
"In The Ayer (Intro Clean)","126","R&B","5:20:01 PM CDT","5:26:02 PM CDT","00:06:01","2"
"1, 2 Step","125","Bass House","5:24:28 PM CDT","5:27:30 PM CDT","00:03:02","1"
"Pretty Boy Swag (Intro Clean)","124","Hip Hop","5:26:02 PM CDT","5:28:59 PM CDT","00:02:57","2"
"Bad & Boujee (Intro Clean)","127","Hip Hop","5:27:51 PM CDT","5:31:26 PM CDT","00:03:35","1"
"Crank That (Soulja Boy) (Intro Clean)","70","Hip Hop","5:29:58 PM CDT","5:32:57 PM CDT","00:02:59","2"
"23 (Intro Clean)","70","Hip Hop","5:31:26 PM CDT","5:35:49 PM CDT","00:04:23","1"
"Take It To The Head [Intro Clean]","71","Hip  Hop","5:32:59 PM CDT","5:38:30 PM CDT","00:05:31","2"
